blocks,threads,reps,bandwidth
4224,1024,512,5371.34
4224,1024,1024,5419.7
4224,1024,2048,5443.16
4224,1024,4096,5312.98
4224,1024,8192,5374.29
4224,1024,16384,5387.41
4224,1024,32768,5404.19
4224,1024,65536,5428.56
4224,1024,131072,5466.72
4224,1024,262144,5440.92
